HS_NO     NOTE
02109200 鹹、浸鹹、乾或燻製之鯨、海豚、鼠海豚、海牛、儒艮、海豹、海獅及海象肉及食用雜碎；及其肉或雜碎肉製成之食用肉粉及粗肉粉
021093   爬蟲類（包括蛇及龜）
02109300 鹹、浸鹹、乾或燻製之爬蟲類（包括蛇及龜）及食用雜碎；及其肉或雜碎肉製成之食用肉粉及粗肉粉
021099   其他
02109911 鹹、浸鹹、乾或燻製之雞肝
02109912 鹹、浸鹹、乾或燻製之雞腿（包括棒棒腿及骨腿）及雞翅
02109913 鹹、浸鹹、乾或燻製之雞心及雞腳
02109919 其他部位雞肉，鹹、浸鹹、乾或燻製
02109921 鹹、浸鹹、乾或燻製之其他家禽肝
02109929 鹹、浸鹹、乾或燻製之其他食用家禽雜碎（肝除外）；其他家禽雜碎製成之食用肉粉及粗肉粉
02109930 乾蛤蚧
02109941 乾鹿鞭
02109942 乾鹿腳筋
02109990 鹹、浸鹹、乾或燻製之其他肉類及食用雜碎；肉類或雜碎肉製成之食用肉粉及粗肉粉
03       第３章　魚類、甲殼類、軟體類及其他水產無脊椎動物
0301     活魚
03011    ─觀賞用魚︰
030111   淡水
03011100 觀賞用魚，淡水
030119   其他
03011900 其他觀賞用魚
03019    －其他活魚︰
030191   鱒（褐鱒、麥克鈎吻鱒、克氏鈎吻鱒、黃鈎吻鱒、吉利鈎吻鱒、阿帕契鈎吻鱒及金腹鈎吻鱒）
03019100 活鱒
030192   鰻魚（鰻鱺屬）
03019210 活鰻（鰻鱺屬）
03019220 鰻線、鰻苗、幼鰻
030193   鯉魚（鯉屬、鯽屬、草魚、鰱屬、鯁屬、青魚、真卡特拉䰾、野鯪屬、哈氏紋唇魚、蘇門答臘細鬚䰾、魴屬）
03019300 鯉魚
030194   大西洋及太平洋黑鮪
03019400 大西洋及太平洋黑鮪
030195   南方黑鮪
03019500 活南方黑鮪
030199   其他
03019910 其他魚苗
03019921 活鱔魚
03019922 其他鯉魚
03019929 其他活魚
0302     生鮮或冷藏魚（第０３０４節之切片、及其他魚肉除外）
03021    －鮭鱒科，第０３０２９１至０３０２９９目之可食用魚雜碎除外︰
030211   鱒（褐鱒、麥克鈎吻鱒、克氏鈎吻鱒、黃鈎吻鱒、吉利鈎吻鱒、阿帕契鈎吻鱒及金腹鈎吻鱒）
03021100 鱒，生鮮或冷藏
030213   太平洋鮭（紅鈎吻鮭、細鱗鈎吻鮭、鈎吻鮭、大鱗鈎吻鮭、銀鈎吻鮭、馬蘇鈎吻鮭及玫瑰鈎吻鮭）
03021300 太平洋鮭，生鮮或冷藏
030214   大西洋鮭及多瑙河鮭
03021400 大西洋鮭及多瑙河鮭，生鮮或冷藏
030219   其他
03021900 其他鮭鱒科，生鮮或冷藏
03022    －扁魚類（鰈科、鮃科、舌鰨科、鰨科、菱鮃科、棘鮃科），第０３０２９１至０３０２９９目之可食用魚雜碎除外︰
030221   大比目魚（北大西洋大比目魚、大西洋大比目魚、太平洋大比目魚）
03022100 大比目魚（北大西洋大比目魚、大西洋大比目魚、太平洋大比目魚），生鮮或冷藏
030222   鰈魚（大西洋有棘鰈魚）
03022200 鰈魚（大西洋有棘鰈魚），生鮮或冷藏
030223   鰨魚（牛舌魚）
03022300 鰨魚（牛舌魚），生鮮或冷藏
030224   比目魚（瘤棘鮃）
03022400 比目魚，生鮮或冷藏
030229   其他
03022900 其他扁魚類，生鮮或冷藏
03023    －鮪魚（鮪屬）、正鰹，第０３０２９１至０３０２９９目之可食用魚雜碎除外︰
030231   長鰭鮪
03023100 長鰭鮪，生鮮或冷藏
030232   黃鰭鮪
03023200 黃鰭鮪，生鮮或冷藏
030233   正鰹
03023300 正鰹，生鮮或冷藏
030234   大目鮪
03023400 大目鮪，生鮮或冷藏
030235   大西洋及太平洋黑鮪
03023500 大西洋及太平洋黑鮪，生鮮或冷藏
030236   南方黑鮪
03023600 南方黑鮪，生鮮或冷藏
030239   其他
03023900 其他鮪魚（鮪屬），生鮮或冷藏
03024    －鯡魚（大西洋鯡、正鯡）、鯷魚（鯷屬）、沙丁魚（沙丁魚、擬沙丁魚屬）、小沙丁魚（小沙丁魚屬）、正鰮、鯖魚（正鯖、花腹鯖、白腹鯖）、印度鯖魚（金帶花鯖屬）、馬加鰆（馬加鰆屬）、竹筴魚（竹筴魚屬）、鰺（鰺屬）、海鱺、銀鯧（鯧屬）、秋刀魚、圓鰺（圓鰺屬）、毛鱗魚、劍旗魚、巴鰹、齒鰆（齒鰆屬）、旗魚（旗魚科），第０３０２９１至０３０２９９目之可食用魚雜碎除外：
030241   鯡魚（大西洋鯡、正鯡）
03024100 鯡魚，生鮮或冷藏
030242   鯷魚（鯷屬）
03024200 鯷魚，生鮮或冷藏
030243   沙丁魚（沙丁魚、擬沙丁魚屬）、小沙丁魚（小沙丁魚屬）、正鰮
03024300 沙丁魚、小沙丁魚、正鰮，生鮮或冷藏
030244   鯖魚（正鯖、花腹鯖、白腹鯖）
03024400 鯖魚，生鮮或冷藏
030245   竹莢魚（竹筴魚屬）
